% 0.1	
% x / m	m / g m^-2
-0.004486705	3.58256E-08
-0.003985519	4.00713E-08
-0.003471596	4.92301E-08
-0.002983396	5.9089E-08
-0.002482409	7.17557E-08
-0.002007245	8.9333E-08
-0.001480699	1.08317E-07
-0.000966958	1.25196E-07
-0.000479006	1.45581E-07
4.7457E-05	1.68074E-07
0.000535475	1.85652E-07
0.001023675	1.95511E-07
0.001499087	2.02562E-07
0.001987353	2.09614E-07
0.002514246	2.13861E-07
0.003002495	2.21615E-07
0.003516583	2.23756E-07
0.003992095	2.26596E-07
0.00451902	2.2944E-07
